,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
107,Cole Beasley,BUF,WR,30,15,10,0,0,0,0,0,0,106,67,778,11.61,0,0,0,0,0,0,0,0,778,6,180.8
108,Curtis Samuel,CAR,WR,23,16,15,0,0,0,0,19,130,105,54,627,11.61,0,0,0,0,0,130,1,19,627,6,171.7
109,Tevin Coleman,SFO,RB,26,14,11,0,0,0,0,137,544,30,21,180,8.57,0,0,0,0,0,544,6,137,180,1,135.4
110,James Conner,PIT,RB,24,10,10,0,0,0,0,116,464,38,34,251,7.38,1,1,0,0,0,464,4,116,251,3,145.5
111,Mike Williams,LAC,WR,25,15,15,0,0,0,0,1,2,90,49,1001,20.43,0,0,0,0,0,2,0,1,1001,2,161.3
112,Damien Williams,KAN,RB,27,11,6,0,0,0,0,111,498,37,30,213,7.1,1,1,0,0,0,498,5,111,213,2,141.1
113,Robby Anderson,NYJ,WR,26,16,15,0,0,0,0,1,4,96,52,779,14.98,1,0,0,0,0,4,0,1,779,5,160.3
114,Chris Conley,JAX,WR,27,16,14,0,0,0,0,0,0,90,47,775,16.49,0,0,0,0,0,0,0,0,775,5,154.5
115,Duke Johnson,HOU,RB,26,16,2,0,0,0,0,83,410,62,44,410,9.32,1,1,0,0,0,410,2,83,410,3,154
116,Mason Rudolph,PIT,QB,24,10,8,176,283,1765,9,21,42,0,0,0,0,4,0,1765,13,283,42,0,21,0,0,108.8
117,Jamaal Williams,GNB,RB,24,14,2,0,0,0,0,107,460,45,39,253,6.49,0,0,0,0,0,460,1,107,253,5,146.3
118,David Johnson,ARI,RB,28,13,9,0,0,0,0,94,345,47,36,370,10.28,1,1,0,0,0,345,2,94,370,4,141.5
119,Diontae Johnson,PIT,WR,23,16,12,0,0,0,0,4,41,92,59,680,11.53,5,2,0,0,0,41,0,4,680,5,157.1
120,Case Keenum,WAS,QB,31,10,8,160,247,1707,5,9,12,0,0,0,0,6,3,1707,11,247,12,1,9,0,0,103.48
121,Golden Tate,NYG,WR,31,11,10,0,0,0,0,1,16,85,49,676,13.8,1,1,0,0,0,16,0,1,676,6,152.2
122,Larry Fitzgerald,ARI,WR,36,16,16,0,0,0,0,0,0,109,75,804,10.72,1,1,0,0,0,0,0,0,804,4,177.4
123,Breshad Perriman,TAM,WR,26,14,4,0,0,0,0,2,16,69,36,645,17.92,0,0,0,0,0,16,0,2,645,6,138.1
124,Peyton Barber,TAM,RB,25,16,7,0,0,0,0,154,470,24,16,115,7.19,1,1,0,0,0,470,6,154,115,1,114.5
125,Jordan Howard,PHI,RB,25,10,4,0,0,0,0,119,525,14,10,69,6.9,0,0,0,0,0,525,6,119,69,1,111.4
126,Tyrell Williams,OAK,WR,27,14,12,0,0,0,0,0,0,64,42,651,15.5,0,0,0,0,0,0,0,0,651,6,143.1
127,Marquise Brown,BAL,WR,22,14,11,0,0,0,0,0,0,71,46,584,12.7,0,0,0,0,0,0,0,0,584,7,146.4
128,Randall Cobb,DAL,WR,29,15,6,0,1,0,0,3,11,83,55,828,15.05,2,1,0,0,1,11,0,3,828,3,154.9
129,Christian Kirk,ARI,WR,23,13,13,0,0,0,0,10,93,108,68,709,10.43,0,0,0,0,0,93,0,10,709,3,166.2
130,Royce Freeman,DEN,RB,23,16,0,0,0,0,0,132,496,50,43,256,5.95,0,0,0,0,0,496,3,132,256,1,142.2
131,Mecole Hardman,KAN,WR,21,16,5,0,0,0,0,4,17,41,26,538,20.69,2,2,0,0,0,17,0,4,538,6,113.5
132,Zach Pascal,IND,WR,25,16,13,0,1,0,0,2,16,72,41,607,14.8,0,0,0,0,1,16,0,2,607,5,133.3
133,LeSean McCoy,KAN,RB,31,13,9,0,0,0,0,101,465,34,28,181,6.46,3,2,0,0,0,465,4,101,181,1,118.6
134,Dede Westbrook,JAX,WR,26,15,11,0,0,0,0,5,27,101,66,660,10,1,0,0,0,0,27,0,5,660,3,152.7
135,Teddy Bridgewater,NOR,QB,27,9,5,133,196,1384,2,28,31,0,0,0,0,1,0,1384,9,196,31,0,28,0,0,90.46
136,James Washington,PIT,WR,23,15,10,0,0,0,0,0,0,80,44,735,16.7,1,1,0,0,0,0,0,0,735,3,133.5
137,Sammy Watkins,KAN,WR,26,14,13,0,0,0,0,2,12,90,52,673,12.94,2,1,0,0,0,12,0,2,673,3,136.5
138,Gus Edwards,BAL,RB,24,16,1,0,0,0,0,133,711,7,7,45,6.43,2,1,0,0,0,711,2,133,45,0,92.6
139,DeAndre Washington,OAK,RB,26,16,3,0,0,0,0,108,387,41,36,292,8.11,0,0,0,0,0,387,3,108,292,0,121.9
140,Tarik Cohen,CHI,RB,24,16,11,0,0,0,0,64,213,104,79,456,5.77,3,0,0,0,0,213,0,64,456,3,163.9
141,Joe Flacco,DEN,QB,34,8,8,171,262,1822,5,12,20,0,0,0,0,8,3,1822,6,262,20,0,12,0,0,82.88
142,Will Fuller,HOU,WR,25,11,11,0,0,0,0,0,0,71,49,670,13.67,1,0,0,0,0,0,0,0,670,3,134
143,Marcus Mariota,TEN,QB,26,7,6,95,160,1203,2,24,129,0,0,0,0,3,0,1203,7,160,129,0,24,0,0,85.02
144,Hunter Renfrow,OAK,WR,24,13,4,0,0,0,0,0,0,71,49,605,12.35,1,0,0,0,0,0,0,0,605,4,133.5
145,Sterling Shepard,NYG,WR,26,10,10,0,0,0,0,6,72,83,57,576,10.11,0,0,0,0,0,72,0,6,576,3,139.8
146,Matt Breida,SFO,RB,24,13,5,0,0,0,0,123,623,22,19,120,6.32,2,1,0,0,0,623,1,123,120,1,103.3
147,Adam Thielen,MIN,WR,29,10,10,0,0,0,0,4,6,48,30,418,13.93,0,0,0,0,0,6,1,4,418,6,114.4
148,Taysom Hill,NOR,QB,29,16,5,3,6,55,0,27,156,22,19,234,12.32,0,0,55,0,6,156,1,27,234,6,102.2
149,Frank Gore,BUF,RB,36,16,8,0,0,0,0,166,599,16,13,100,7.69,0,0,0,0,0,599,2,166,100,0,94.9
150,T.Y. Hilton,IND,WR,30,10,10,0,0,0,0,0,0,68,45,501,11.13,0,0,0,0,0,0,0,0,501,5,125.1
151,Kenny Stills,HOU,WR,27,13,5,0,0,0,0,0,0,55,40,561,14.03,0,0,0,0,0,0,0,0,561,4,120.1
152,Danny Amendola,DET,WR,34,15,10,1,1,19,0,0,0,97,62,678,10.94,0,0,19,1,1,0,0,0,678,1,140.56
153,Alshon Jeffery,PHI,WR,29,10,10,0,0,0,0,1,2,73,43,490,11.4,0,0,0,0,0,2,1,1,490,4,122.2
154,Dwayne Haskins,WAS,QB,22,9,7,119,203,1365,7,20,101,0,0,0,0,6,2,1365,7,203,101,0,20,0,0,74.7
155,Brandin Cooks,LAR,WR,26,14,14,0,0,0,0,6,52,72,42,583,13.88,0,0,0,0,0,52,0,6,583,2,117.5
156,Darren Fells,HOU,TE,33,16,14,0,0,0,0,0,0,48,34,341,10.03,0,0,0,0,0,0,0,0,341,7,110.1
157,Anthony Miller,CHI,WR,25,16,7,0,0,0,0,1,-1,85,52,656,12.62,1,1,0,0,0,-1,0,1,656,2,127.5
158,Steven Sims,WAS,WR,22,16,2,0,1,0,0,9,85,56,34,310,9.12,1,0,0,0,1,85,1,9,310,4,103.5
159,Kerryon Johnson,DET,RB,22,8,7,0,0,0,0,113,403,15,10,127,12.7,1,1,0,0,0,403,3,113,127,1,85
160,Kyle Rudolph,MIN,TE,30,16,16,0,0,0,0,0,0,48,39,367,9.41,0,0,0,0,0,0,0,0,367,6,111.7
161,Rex Burkhead,NWE,RB,29,13,1,0,0,0,0,65,302,38,27,279,10.33,1,1,0,0,0,302,3,65,279,0,101.1
162,Nyheim Hines,IND,RB,23,16,2,0,0,0,0,52,199,58,44,320,7.27,1,1,0,0,0,199,2,52,320,0,105.9
163,Tony Pollard,DAL,RB,22,15,0,0,0,0,0,86,455,20,15,107,7.13,1,1,0,0,0,455,2,86,107,1,87.2
164,Boston Scott,PHI,RB,24,11,2,0,0,0,0,61,245,26,24,204,8.5,4,1,0,0,0,245,5,61,204,0,96.9
165,Corey Davis,TEN,WR,24,15,11,0,0,0,0,0,0,69,43,601,13.98,1,0,0,0,0,0,0,0,601,2,115.1
166,Phillip Dorsett,NWE,WR,26,14,4,0,0,0,0,3,21,54,29,397,13.69,0,0,0,0,0,21,0,3,397,5,100.8
167,Greg Olsen,CAR,TE,34,14,14,0,0,0,0,0,0,82,52,597,11.48,0,0,0,0,0,0,0,0,597,2,123.7
168,Chase Edmonds,ARI,RB,23,13,2,0,0,0,0,60,303,21,12,105,8.75,0,0,0,0,0,303,4,60,105,1,82.8
169,Noah Fant,DEN,TE,22,16,11,0,0,0,0,3,-12,66,40,562,14.05,1,1,0,0,0,-12,0,3,562,3,111
170,JuJu Smith-Schuster,PIT,WR,23,12,12,0,0,0,0,0,0,70,42,552,13.14,1,1,0,0,0,0,0,0,552,3,113.2
171,Jonnu Smith,TEN,TE,24,16,14,0,0,0,0,4,78,44,35,439,12.54,0,0,0,0,0,78,0,4,439,3,104.7
172,Jack Doyle,IND,TE,29,16,16,0,0,0,0,0,0,72,43,448,10.42,1,0,0,0,0,0,0,0,448,4,111.8
173,Demarcus Robinson,KAN,WR,25,16,10,0,0,0,0,0,0,55,32,449,14.03,0,0,0,0,0,0,0,0,449,4,100.9
174,Kendrick Bourne,SFO,WR,24,16,0,0,0,0,0,0,0,44,30,358,11.93,0,0,0,0,0,0,0,0,358,5,95.8
175,Allen Lazard,GNB,WR,24,16,3,0,0,0,0,1,21,52,35,477,13.63,0,0,0,0,0,21,0,1,477,3,102.8
176,Drew Lock,DEN,QB,23,5,5,100,156,1020,3,18,72,0,0,0,0,3,1,1020,7,156,72,0,18,0,0,68
177,Rashaad Penny,SEA,RB,23,10,0,0,0,0,0,65,370,11,8,83,10.38,1,1,0,0,0,370,3,65,83,1,75.3
178,John Ross,CIN,WR,25,8,8,0,0,0,0,3,4,56,28,506,18.07,1,1,0,0,0,4,0,3,506,3,95
179,Evan Engram,NYG,TE,25,8,6,0,0,0,0,3,7,68,44,467,10.61,0,0,0,0,0,7,0,3,467,3,109.4
180,Mohamed Sanu,2TM,WR,30,15,12,0,0,0,0,3,11,89,59,520,8.81,0,0,0,0,0,11,0,3,520,2,124.1
181,Tyler Eifert,CIN,TE,29,16,4,0,0,0,0,0,0,63,43,436,10.14,0,0,0,0,0,0,0,0,436,3,104.6
182,Ryan Griffin,NYJ,TE,29,13,13,0,0,0,0,0,0,41,34,320,9.41,0,0,0,0,0,0,0,0,320,5,96
183,Kareem Hunt,CLE,RB,24,8,3,0,0,0,0,43,179,44,37,285,7.7,1,0,0,0,0,179,2,43,285,1,101.4
184,Willie Snead,BAL,WR,27,16,11,0,0,0,0,2,2,46,31,339,10.94,0,0,0,0,0,2,0,2,339,5,95.1
185,Jimmy Graham,GNB,TE,33,16,10,0,0,0,0,0,0,60,38,447,11.76,1,0,0,0,0,0,0,0,447,3,100.7
186,Auden Tate,CIN,WR,22,12,10,0,0,0,0,0,0,80,40,575,14.38,1,1,0,0,0,0,0,0,575,1,101.5
187,Taylor Gabriel,CHI,WR,28,9,7,0,0,0,0,3,20,48,29,353,12.17,0,0,0,0,0,20,0,3,353,4,90.3
188,Preston Williams,MIA,WR,22,8,7,0,0,0,0,0,0,60,32,428,13.38,2,1,0,0,0,0,0,0,428,3,90.8
189,Alexander Mattison,MIN,RB,21,13,0,0,0,0,0,100,462,12,10,82,8.2,1,1,0,0,0,462,1,100,82,0,68.4
190,Marquez Valdes-Scantling,GNB,WR,25,16,10,0,0,0,0,2,9,56,26,452,17.38,0,0,0,0,0,9,0,2,452,2,84.1
